date,nav,currency,source
2021-12-20,20.1727,USD,anuefund_public
2021-12-21,20.8135,USD,anuefund_public
2021-12-22,21.0315,USD,anuefund_public
2021-12-23,21.3356,USD,anuefund_public
2021-12-24,21.3356,USD,anuefund_public
2021-12-27,21.5972,USD,anuefund_public
2021-12-28,21.5503,USD,anuefund_public
2021-12-29,21.4871,USD,anuefund_public
2021-12-30,21.4578,USD,anuefund_public
2022-01-03,21.5703,USD,anuefund_public
2022-01-04,21.4324,USD,anuefund_public
2022-01-05,20.8148,USD,anuefund_public
2022-01-06,20.6899,USD,anuefund_public
2022-01-07,20.2154,USD,anuefund_public
2022-01-10,20.2399,USD,anuefund_public
2022-01-11,20.2536,USD,anuefund_public
2022-01-12,20.3625,USD,anuefund_public
2022-01-13,20.1089,USD,anuefund_public
2022-01-14,20.3018,USD,anuefund_public
2022-01-17,20.3018,USD,anuefund_public
2022-01-18,19.9487,USD,anuefund_public
2022-01-19,19.599,USD,anuefund_public
2022-01-20,19.4743,USD,anuefund_public
2022-01-21,19.0048,USD,anuefund_public
2022-01-22,19.0048,USD,anuefund_public
2022-01-24,19.1342,USD,anuefund_public
2022-01-25,18.6913,USD,anuefund_public
2022-01-26,18.7169,USD,anuefund_public
2022-01-27,18.4629,USD,anuefund_public
2022-01-28,18.6361,USD,anuefund_public
2022-02-07,19.0412,USD,anuefund_public
2022-02-08,19.2976,USD,anuefund_public
2022-02-09,19.8334,USD,anuefund_public
2022-02-10,19.623,USD,anuefund_public
2022-02-11,19.3855,USD,anuefund_public
2022-02-14,19.0984,USD,anuefund_public
2022-02-15,19.4731,USD,anuefund_public
2022-02-16,19.6249,USD,anuefund_public
2022-02-17,19.2339,USD,anuefund_public
2022-02-18,19.1923,USD,anuefund_public
2022-02-21,19.1923,USD,anuefund_public
2022-02-22,18.8379,USD,anuefund_public
2022-02-23,18.7865,USD,anuefund_public
2022-02-24,18.8448,USD,anuefund_public
2022-02-25,19.2776,USD,anuefund_public
2022-03-01,19.051,USD,anuefund_public
2022-03-02,19.3076,USD,anuefund_public
2022-03-03,19.1427,USD,anuefund_public
2022-03-04,18.6744,USD,anuefund_public
2022-03-07,17.8895,USD,anuefund_public
2022-03-08,17.7488,USD,anuefund_public
2022-03-09,18.1612,USD,anuefund_public
2022-03-10,18.2757,USD,anuefund_public
2022-03-11,18.0168,USD,anuefund_public
2022-03-14,17.7575,USD,anuefund_public
2022-03-15,17.6713,USD,anuefund_public
2022-03-16,18.052,USD,anuefund_public
2022-03-17,18.4306,USD,anuefund_public
2022-03-18,18.6495,USD,anuefund_public
2022-03-21,18.6964,USD,anuefund_public
2022-03-22,18.7817,USD,anuefund_public
2022-03-23,18.7481,USD,anuefund_public
2022-03-24,19.1454,USD,anuefund_public
2022-03-25,19.2082,USD,anuefund_public
2022-03-28,19.2531,USD,anuefund_public
2022-03-29,19.5129,USD,anuefund_public
2022-03-30,19.3319,USD,anuefund_public
2022-03-31,19.046,USD,anuefund_public
2022-04-01,18.8754,USD,anuefund_public
2022-04-06,18.3079,USD,anuefund_public
2022-04-07,18.0072,USD,anuefund_public
2022-04-08,17.8725,USD,anuefund_public
2022-04-11,17.3357,USD,anuefund_public
2022-04-12,17.2659,USD,anuefund_public
2022-04-13,17.5792,USD,anuefund_public
2022-04-14,17.4033,USD,anuefund_public
2022-04-15,17.4033,USD,anuefund_public
2022-04-18,17.2313,USD,anuefund_public
2022-04-19,17.4305,USD,anuefund_public
2022-04-20,17.462,USD,anuefund_public
2022-04-21,17.2901,USD,anuefund_public
2022-04-22,16.8905,USD,anuefund_public
2022-04-25,16.742,USD,anuefund_public
2022-04-26,16.4033,USD,anuefund_public
2022-04-27,16.397,USD,anuefund_public
2022-04-28,16.6239,USD,anuefund_public
2022-04-29,16.4854,USD,anuefund_public
2022-05-03,16.7515,USD,anuefund_public
2022-05-04,17.0304,USD,anuefund_public
2022-05-05,16.7816,USD,anuefund_public
2022-05-06,16.4893,USD,anuefund_public
2022-05-09,15.9598,USD,anuefund_public
2022-05-10,16.1494,USD,anuefund_public
2022-05-11,15.9761,USD,anuefund_public
2022-05-12,15.8571,USD,anuefund_public
2022-05-13,16.2639,USD,anuefund_public
2022-05-16,16.1564,USD,anuefund_public
2022-05-17,16.6317,USD,anuefund_public
2022-05-18,16.3668,USD,anuefund_public
2022-05-19,16.299,USD,anuefund_public
2022-05-20,16.2552,USD,anuefund_public
2022-05-23,16.2651,USD,anuefund_public
2022-05-24,15.8729,USD,anuefund_public
2022-05-25,16.0348,USD,anuefund_public
2022-05-26,16.143,USD,anuefund_public
2022-05-27,16.5832,USD,anuefund_public
2022-05-30,16.5832,USD,anuefund_public
2022-05-31,16.8721,USD,anuefund_public
2022-06-01,16.7014,USD,anuefund_public
2022-06-02,16.9006,USD,anuefund_public
2022-06-06,16.7465,USD,anuefund_public
2022-06-07,16.6952,USD,anuefund_public
2022-06-08,16.6452,USD,anuefund_public
2022-06-09,16.3435,USD,anuefund_public
