date,nav,currency,source
2022-08-09,95.4994,USD,anuefund_public
2022-08-10,95.7342,USD,anuefund_public
2022-08-11,95.8396,USD,anuefund_public
2022-08-12,93.7078,USD,anuefund_public
2022-08-15,93.8374,USD,anuefund_public
2022-08-16,93.3544,USD,anuefund_public
2022-08-17,92.4141,USD,anuefund_public
2022-08-18,90.3578,USD,anuefund_public
2022-08-19,90.1459,USD,anuefund_public
2022-08-22,88.2993,USD,anuefund_public
2022-08-23,88.5214,USD,anuefund_public
2022-08-24,89.1525,USD,anuefund_public
2022-08-25,91.2485,USD,anuefund_public
2022-08-26,90.9612,USD,anuefund_public
2022-08-29,86.8916,USD,anuefund_public
2022-08-30,86.2347,USD,anuefund_public
2022-08-31,84.6127,USD,anuefund_public
2022-09-01,82.8807,USD,anuefund_public
2022-09-02,80.6679,USD,anuefund_public
2022-09-06,83.1509,USD,anuefund_public
2022-09-07,81.6344,USD,anuefund_public
2022-09-08,84.3013,USD,anuefund_public
2022-09-09,86.095,USD,anuefund_public
2022-09-12,87.7439,USD,anuefund_public
2022-09-13,87.6444,USD,anuefund_public
2022-09-14,85.2205,USD,anuefund_public
2022-09-15,85.2123,USD,anuefund_public
2022-09-16,81.6919,USD,anuefund_public
2022-09-19,82.2797,USD,anuefund_public
2022-09-20,83.7712,USD,anuefund_public
2022-09-21,82.2985,USD,anuefund_public
2022-09-22,82.9224,USD,anuefund_public
2022-09-23,81.5005,USD,anuefund_public
2022-09-26,77.7052,USD,anuefund_public
2022-09-27,76.3723,USD,anuefund_public
2022-09-28,76.8255,USD,anuefund_public
2022-09-29,80.7856,USD,anuefund_public
2022-09-30,82.7972,USD,anuefund_public
2022-10-03,84.7148,USD,anuefund_public
2022-10-04,88.2981,USD,anuefund_public
2022-10-05,88.7174,USD,anuefund_public
2022-10-06,87.9185,USD,anuefund_public
2022-10-07,88.8007,USD,anuefund_public
2022-10-10,85.6552,USD,anuefund_public
2022-10-11,84.2669,USD,anuefund_public
2022-10-12,83.3434,USD,anuefund_public
2022-10-13,82.1897,USD,anuefund_public
2022-10-14,82.8975,USD,anuefund_public
2022-10-17,80.3036,USD,anuefund_public
2022-10-18,81.9249,USD,anuefund_public
2022-10-19,80.8896,USD,anuefund_public
2022-10-20,79.3283,USD,anuefund_public
2022-10-21,79.1913,USD,anuefund_public
2022-10-24,82.5589,USD,anuefund_public
2022-10-25,81.498,USD,anuefund_public
2022-10-26,83.8976,USD,anuefund_public
2022-10-27,85.7331,USD,anuefund_public
2022-10-28,84.0974,USD,anuefund_public
2022-10-31,82.8928,USD,anuefund_public
2022-11-01,84.7693,USD,anuefund_public
2022-11-02,83.5813,USD,anuefund_public
2022-11-03,77.889,USD,anuefund_public
2022-11-04,83.5619,USD,anuefund_public
2022-11-07,85.8251,USD,anuefund_public
2022-11-08,86.1467,USD,anuefund_public
2022-11-09,91.365,USD,anuefund_public
2022-11-10,93.6925,USD,anuefund_public
2022-11-11,99.7757,USD,anuefund_public
2022-11-14,98.4155,USD,anuefund_public
2022-11-15,99.4795,USD,anuefund_public
2022-11-16,96.7177,USD,anuefund_public
2022-11-17,94.3111,USD,anuefund_public
2022-11-18,94.7362,USD,anuefund_public
2022-11-21,94.0775,USD,anuefund_public
2022-11-22,94.8579,USD,anuefund_public
2022-11-23,97.5651,USD,anuefund_public
2022-11-24,99.9504,USD,anuefund_public
2022-11-25,99.3585,USD,anuefund_public
2022-11-28,98.1894,USD,anuefund_public
2022-11-29,95.5658,USD,anuefund_public
2022-11-30,98.1944,USD,anuefund_public
2022-12-01,101.7717,USD,anuefund_public
2022-12-02,104.0291,USD,anuefund_public
2022-12-05,103.9541,USD,anuefund_public
2022-12-06,100.5914,USD,anuefund_public
2022-12-07,100.6147,USD,anuefund_public
2022-12-08,103.5273,USD,anuefund_public
2022-12-09,102.3585,USD,anuefund_public
2022-12-12,101.1796,USD,anuefund_public
2022-12-13,103.3566,USD,anuefund_public
2022-12-14,103.6958,USD,anuefund_public
2022-12-15,101.2512,USD,anuefund_public
2022-12-16,98.9097,USD,anuefund_public
2022-12-19,100.883,USD,anuefund_public
2022-12-20,99.9601,USD,anuefund_public
2022-12-21,104.4007,USD,anuefund_public
2022-12-22,103.6327,USD,anuefund_public
2022-12-23,103.6833,USD,anuefund_public
2022-12-28,106.3076,USD,anuefund_public
2022-12-29,104.245,USD,anuefund_public
2022-12-30,104.1702,USD,anuefund_public
2023-01-03,102.8828,USD,anuefund_public
2023-01-04,109.0254,USD,anuefund_public
2023-01-05,110.4259,USD,anuefund_public
2023-01-06,111.8668,USD,anuefund_public
2023-01-09,115.0213,USD,anuefund_public
2023-01-10,112.0926,USD,anuefund_public
2023-01-11,115.302,USD,anuefund_public
2023-01-12,116.4829,USD,anuefund_public
2023-01-13,115.5891,USD,anuefund_public
2023-01-16,117.3789,USD,anuefund_public
2023-01-17,115.6528,USD,anuefund_public
2023-01-18,114.4677,USD,anuefund_public
2023-01-19,113.1706,USD,anuefund_public
2023-01-20,115.5261,USD,anuefund_public
2023-01-23,117.3523,USD,anuefund_public
2023-01-24,117.8529,USD,anuefund_public
2023-01-25,116.7527,USD,anuefund_public
2023-01-26,120.1983,USD,anuefund_public
2023-01-27,118.102,USD,anuefund_public
2023-01-30,115.823,USD,anuefund_public
2023-01-31,114.6829,USD,anuefund_public
2023-02-01,114.8064,USD,anuefund_public
2023-02-02,118.2355,USD,anuefund_public
2023-02-03,111.9058,USD,anuefund_public
2023-02-06,108.6924,USD,anuefund_public
2023-02-07,109.4301,USD,anuefund_public
2023-02-08,110.7083,USD,anuefund_public
2023-02-09,110.8938,USD,anuefund_public
2023-02-10,107.1036,USD,anuefund_public
2023-02-13,106.381,USD,anuefund_public
2023-02-14,106.5374,USD,anuefund_public
2023-02-15,105.0499,USD,anuefund_public
2023-02-16,101.6507,USD,anuefund_public
2023-02-17,101.908,USD,anuefund_public
2023-02-21,100.7871,USD,anuefund_public
2023-02-22,99.9367,USD,anuefund_public
2023-02-23,97.5901,USD,anuefund_public
2023-02-24,95.2789,USD,anuefund_public
2023-02-27,96.6749,USD,anuefund_public
2023-02-28,97.3247,USD,anuefund_public
2023-03-01,99.2031,USD,anuefund_public
2023-03-02,99.9772,USD,anuefund_public
